name,site,subtypes,category,type,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,latitude,longitude,full_address,city,state,area_service,rating,reviews,reviews_link,photos_count,working_hours,verified,location_link,place_id,email_1,email_1.emails_validator.status,facebook,instagram,logo,primary_color,secondary_color,slug
CCS Plumbing LLC,,Plumber,Plumber,Plumber,+1 504-812-0508,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,30.0791135,-90.495093,"328 Catalpa Dr, Laplace, LA 70068",Laplace,Louisiana,False,5.0,4.0,"https://search.google.com/local/reviews?placeid=ChIJBYV9n2mH-w0RAwlFB01EnRo&q=plumber,+70084,+Reserve,+LA,+US&authuser=0&hl=en&gl=US",11.0,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-2PM""}",True,"https://www.google.com/maps/place/CCS+Plumbing+LLC/@30.0791135,-90.495093,14z/data=!4m8!1m2!2m1!1sCCS+Plumbing+LLC!3m4!1s0xdfb87699f7d8505:0x1a9d444d07450903!8m2!3d30.0791135!4d-90.495093",ChIJBYV9n2mH-w0RAwlFB01EnRo,,,,,https://lh3.googleusercontent.com/-xQ9xc6k-2eA/AAAAAAAAAAI/AAAAAAAAAAA/PArAfcmv1sc/s256/photo.jpg,#4374e0,#9fc2fe,ccsplumbingllc
Guillory's plumbing,,"Plumber, Bathroom remodeler, Contractor, Electrician, Kitchen remodeler",Plumber,Plumber,+1 504-236-7091,T-Mobile USA Inc.,mobile,30.0775676,-90.4659186,"2906 Main St, Laplace, LA 70068",Laplace,Louisiana,False,4.2,5.0,"https://search.google.com/local/reviews?placeid=ChIJvQ3uYxfSIIYR1SZ-WG9cPGA&q=plumber,+70084,+Reserve,+LA,+US&authuser=0&hl=en&gl=US",20.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Guillory%27s+plumbing/@30.0775676,-90.4659186,14z/data=!4m8!1m2!2m1!1sGuillory%27s+plumbing!3m4!1s0x8620d21763ee0dbd:0x603c5c6f587e26d5!8m2!3d30.0775676!4d-90.4659186",ChIJvQ3uYxfSIIYR1SZ-WG9cPGA,,,,,https://lh5.googleusercontent.com/-JmVH7R4tEkU/AAAAAAAAAAI/AAAAAAAAAAA/__1qRq-H0gM/s256/photo.jpg,#a29069,#69593e,guillorysplumbing
ck plumbing,,"Plumber, Service establishment",Plumber,Plumber,+1 504-215-1520,T-Mobile USA Inc.,mobile,30.1254846,-90.4299785,,LaPlace,LA,True,,,,,"{""Sunday"": ""10AM-6PM"", ""Monday"": ""8AM-7PM"", ""Tuesday"": ""8AM-7PM"", ""Wednesday"": ""8AM-7PM"", ""Thursday"": ""8AM-7PM"", ""Friday"": ""8AM-7PM"", ""Saturday"": ""10AM-6PM""}",True,"https://www.google.com/maps/place/ck+plumbing/@30.1254846,-90.42997849999999,14z/data=!4m8!1m2!2m1!1sck+plumbing!3m4!1s0x8eed8513d853ab1:0x3b5824933748cebb!8m2!3d30.1254846!4d-90.42997849999999",ChIJsTqFPVHY7ggRu85IN5MkWDs,,,,,https://lh4.googleusercontent.com/-pobPm_1gwm4/AAAAAAAAAAI/AAAAAAAAAAA/mWYWSXHCiHk/s256/photo.jpg,#4374e0,#9fc2fe,ckplumbing
L & Son Plumbing Inc,,,,,+1 985-536-2915,,landline,30.0716805,-90.5522101,"585 Central Ave, Reserve, LA 70084",Reserve,Louisiana,False,,,,1.0,,False,"https://www.google.com/maps/place/L+%26+Son+Plumbing+Inc/@30.0716805,-90.5522101,14z/data=!4m8!1m2!2m1!1sL+%26+Son+Plumbing+Inc!3m4!1s0x8620d425c82f4311:0xfeaf67f3a3fac92b!8m2!3d30.0716805!4d-90.5522101",ChIJEUMvyCXUIIYRK8n6o_Nnr_4,,,,,,,,lsonplumbinginc
Master Drain LLC,,"Plumber, Service establishment",Plumber,Plumber,,,,30.4312855,-90.635064,,Killian,LA,True,5.0,5.0,"https://search.google.com/local/reviews?placeid=ChIJvRVMdvzPJoYR_mCCJT1y3JE&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",4.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Master+Drain+LLC/@30.431285499999998,-90.635064,14z/data=!4m8!1m2!2m1!1sMaster+Drain+LLC!3m4!1s0x8626cffc764c15bd:0x91dc723d258260fe!8m2!3d30.431285499999998!4d-90.635064",ChIJvRVMdvzPJoYR_mCCJT1y3JE,masterdrainllc@gmail.com,RECEIVING,https://www.facebook.com/people/Master-Drain-LLC/100057076824871/,,https://lh5.googleusercontent.com/-bcS5Ca8_K2g/AAAAAAAAAAI/AAAAAAAAAAA/UbcB9V-SFBQ/s256/photo.jpg,#f7f6f5,#b82a32,masterdrainllc
Walter's AC Refrigeration & Plumbing,,"Plumber, Service establishment, Air conditioning contractor",Air conditioning contractor,Plumber,+1 225-623-5328,T-Mobile USA Inc.,mobile,29.9459376,-90.319831,,Saint Rose,LA,True,5.0,1.0,,,"{""Sunday"": ""1-8PM"", ""Monday"": ""4-9PM"", ""Tuesday"": ""4-9PM"", ""Wednesday"": ""4-9PM"", ""Thursday"": ""4-9PM"", ""Friday"": ""4-9PM"", ""Saturday"": ""7AM-9PM""}",True,"https://www.google.com/maps/place/Walter%27s+AC+Refrigeration+%26+Plumbing/@29.945937599999997,-90.319831,14z/data=!4m8!1m2!2m1!1sWalter%27s+AC+Refrigeration+%26+Plumbing!3m4!1s0x6b39cd9734f231cd:0x567627518855c345!8m2!3d29.945937599999997!4d-90.319831",ChIJzTHyNJfNOWsRRcNViFEndlY,,,,,https://lh6.googleusercontent.com/-ihV7z08Pnhg/AAAAAAAAAAI/AAAAAAAAAAA/nxURt13JQmw/s256/photo.jpg,#4374e0,#9fc2fe,waltersacrefrigerationplumbing
Falcon's Plumbing,,"Plumber, Service establishment",Plumber,Plumber,+1 225-892-4826,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - LA,mobile,29.986882,-91.052022,,Napoleonville,LA,True,5.0,2.0,"https://search.google.com/local/reviews?placeid=ChIJ-9ybpMhPIYYRuCKtQNauouk&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",96.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-4PM"", ""Tuesday"": ""7AM-4PM"", ""Wednesday"": ""7AM-4PM"", ""Thursday"": ""7AM-4PM"", ""Friday"": ""7AM-4PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Falcon%27s+Plumbing/@29.986881999999998,-91.052022,14z/data=!4m8!1m2!2m1!1sFalcon%27s+Plumbing!3m4!1s0x86214fc8a49bdcfb:0xe9a2aed640ad22b8!8m2!3d29.986881999999998!4d-91.052022",ChIJ-9ybpMhPIYYRuCKtQNauouk,,,,,https://lh5.googleusercontent.com/-AAZr4pu8V7c/AAAAAAAAAAI/AAAAAAAAAAA/y8uV7O29--U/s256/photo.jpg,#d6d6d5,#896f74,falconsplumbing
Veterans Plumbing Repairs,https://www.facebook.com/veterans11b/,"Plumber, Drainage service, Service establishment, Kitchen remodeler, Repair service",Plumber,Plumber,+1 225-614-3793,,mobile,30.4344385,-90.6988396,,Springville,LA,True,4.9,125.0,"https://search.google.com/local/reviews?placeid=ChIJ4XxL9uLHJoYRzbepFwNEUww&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",8.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Veterans+Plumbing+Repairs/@30.4344385,-90.6988396,14z/data=!4m8!1m2!2m1!1sVeterans+Plumbing+Repairs!3m4!1s0x8626c7e2f64b7ce1:0xc53440317a9b7cd!8m2!3d30.4344385!4d-90.6988396",ChIJ4XxL9uLHJoYRzbepFwNEUww,veterans11b@yahoo.com,RECEIVING,https://www.facebook.com/veterans11b,,https://lh5.googleusercontent.com/-MZx_uRAcDDw/AAAAAAAAAAI/AAAAAAAAAAA/Bp5eEjQsldM/s256/photo.jpg,#958897,#010202,veteransplumbingrepairs
BST,,Plumber,Plumber,Plumber,+1 225-869-3294,,landline,30.0437883,-90.6957381,"1962 W Main St, Lutcher, LA 70071",Lutcher,Louisiana,False,,,,1.0,,False,"https://www.google.com/maps/place/BST/@30.0437883,-90.6957381,14z/data=!4m8!1m2!2m1!1sBST!3m4!1s0x86212ebfb53aa487:0x1b7f86e26681144f!8m2!3d30.0437883!4d-90.6957381",ChIJh6Q6tb8uIYYRTxSBZuKGfxs,,,,,,,,bst
Ostarly Plumbing,,Plumber,Plumber,Plumber,+1 225-869-3136,,landline,30.0335588,-90.7408455,"3534 Beth Ln, Paulina, LA 70763",Paulina,Louisiana,False,2.9,15.0,"https://search.google.com/local/reviews?placeid=ChIJ_____2-3IIYR4HyBQjYpjh8&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",8.0,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Ostarly+Plumbing/@30.033558799999998,-90.74084549999999,14z/data=!4m8!1m2!2m1!1sOstarly+Plumbing!3m4!1s0x8620b76fffffffff:0x1f8e293642817ce0!8m2!3d30.033558799999998!4d-90.74084549999999",ChIJ_____2-3IIYR4HyBQjYpjh8,,,,,https://lh6.googleusercontent.com/-U7UjCRCmeQk/AAAAAAAAAAI/AAAAAAAAAAA/0AtV3GqWm00/s256/photo.jpg,#4374e0,#9fc2fe,ostarlyplumbing
"Black Bear Plumbing Repair, LLC",,"Plumber, Service establishment",Plumber,Plumber,+1 504-341-8819,,mobile,30.3158935,-90.9424946,,Prairieville,LA,True,5.0,9.0,"https://search.google.com/local/reviews?placeid=ChIJJ4JgLvWN9Q0RLjjiBaPxSeA&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",1.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-4PM"", ""Tuesday"": ""7AM-4PM"", ""Wednesday"": ""7AM-4PM"", ""Thursday"": ""7AM-4PM"", ""Friday"": ""7AM-4PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Black+Bear+Plumbing+Repair%2C+LLC/@30.315893499999998,-90.94249459999999,14z/data=!4m8!1m2!2m1!1sBlack+Bear+Plumbing+Repair%2C+LLC!3m4!1s0xdf58df52e608227:0xe049f1a305e2382e!8m2!3d30.315893499999998!4d-90.94249459999999",ChIJJ4JgLvWN9Q0RLjjiBaPxSeA,,,,,https://lh4.googleusercontent.com/-9KYw-Dvb0vw/AAAAAAAAAAI/AAAAAAAAAAA/vAq7WrJFA-8/s256/photo.jpg,#773238,#f9f6f6,blackbearplumbingrepairllc
"Amato's Refrigeration, Inc.",,Air conditioning contractor,Air conditioning contractor,Air conditioning contractor,+1 225-869-3491,,landline,30.0391563,-90.6997021,"2243 S Central St, Lutcher, LA 70071",Lutcher,Louisiana,False,4.9,16.0,"https://search.google.com/local/reviews?placeid=ChIJj5OAFOsuIYYR8B3jxjnDDTU&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",1.0,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-4PM"", ""Tuesday"": ""8AM-4PM"", ""Wednesday"": ""8AM-4PM"", ""Thursday"": ""8AM-4PM"", ""Friday"": ""8AM-4PM"", ""Saturday"": ""Closed""}",False,"https://www.google.com/maps/place/Amato%27s+Refrigeration%2C+Inc./@30.0391563,-90.6997021,14z/data=!4m8!1m2!2m1!1sAmato%27s+Refrigeration%2C+Inc.!3m4!1s0x86212eeb1480938f:0x350dc339c6e31df0!8m2!3d30.0391563!4d-90.6997021",ChIJj5OAFOsuIYYR8B3jxjnDDTU,,,,,,,,amatosrefrigerationinc
Lopez LLC,https://www.facebook.com/profile.php?id=61553700753603,"Plumber, Construction company",Plumber,Plumber,+1 985-513-4037,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,29.7876246,-90.8295304,"1056 People St, Thibodaux, LA 70301",Thibodaux,Louisiana,False,4.8,31.0,"https://search.google.com/local/reviews?placeid=ChIJVaGJg35BIYYRn3hqe5FiWv4&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",5.0,"{""Sunday"": ""Closed"", ""Monday"": ""7:30AM-5PM"", ""Tuesday"": ""7:30AM-5PM"", ""Wednesday"": ""7:30AM-5PM"", ""Thursday"": ""7:30AM-5PM"", ""Friday"": ""7:30AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Lopez+LLC/@29.787624599999997,-90.8295304,14z/data=!4m8!1m2!2m1!1sLopez+LLC!3m4!1s0x8621417e8389a155:0xfe5a62917b6a789f!8m2!3d29.787624599999997!4d-90.8295304",ChIJVaGJg35BIYYRn3hqe5FiWv4,lopezllcplumbing@gmail.com,RECEIVING,https://www.facebook.com/people/Lopez-LLC/61553700753603/?/,www.instagram.com,https://lh3.googleusercontent.com/-J3xrvLNdDJE/AAAAAAAAAAI/AAAAAAAAAAA/xnPdRSugHSw/s256/photo.jpg,#6080b0,#f3f5f9,lopezllc
Clement's Sales & Services Inc,,Electrician,Electrician,Electrician,+1 985-526-4264,,landline,29.8224028,-90.9687305,"738 Brule Rd, Labadieville, LA 70372",Labadieville,Louisiana,False,5.0,3.0,"https://search.google.com/local/reviews?placeid=ChIJX0RkFQ9BIYYRRzrowEpX4lE&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",3.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-4PM"", ""Tuesday"": ""7AM-4PM"", ""Wednesday"": ""7AM-4PM"", ""Thursday"": ""7AM-4PM"", ""Friday"": ""7AM-4PM"", ""Saturday"": ""Closed""}",False,"https://www.google.com/maps/place/Clement%27s+Sales+%26+Services+Inc/@29.8224028,-90.96873049999999,14z/data=!4m8!1m2!2m1!1sClement%27s+Sales+%26+Services+Inc!3m4!1s0x8621410f1564445f:0x51e2574ac0e83a47!8m2!3d29.8224028!4d-90.96873049999999",ChIJX0RkFQ9BIYYRRzrowEpX4lE,,,,,,,,clementssalesservicesinc
Purpose Plumbing LLC,,"Plumber, Service establishment",Plumber,Plumber,+1 225-402-8245,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,30.3668936,-91.0656325,,Baton Rouge,LA,True,5.0,61.0,"https://search.google.com/local/reviews?placeid=ChIJgSQX-0VPcqUR8qtACbU81sQ&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",35.0,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Purpose+Plumbing+LLC/@30.366893599999997,-91.06563249999999,14z/data=!4m8!1m2!2m1!1sPurpose+Plumbing+LLC!3m4!1s0xa5724f45fb172481:0xc4d63cb50940abf2!8m2!3d30.366893599999997!4d-91.06563249999999",ChIJgSQX-0VPcqUR8qtACbU81sQ,purposeplumbingllc@gmail.com,RECEIVING,https://www.facebook.com/purposeplumbingllc/,,https://lh3.googleusercontent.com/-m-q0gh6_7-s/AAAAAAAAAAI/AAAAAAAAAAA/yEon00i_9PU/s256/photo.jpg,#2985ca,#fdfefe,purposeplumbingllc
John Barrilleaux & Sons Plumbing,,Plumber,Plumber,Plumber,+1 985-447-3302,AT&T CORP.,fixed line,29.7941857,-90.8252482,"533 W 7th St, Thibodaux, LA 70301",Thibodaux,Louisiana,False,4.0,15.0,"https://search.google.com/local/reviews?placeid=ChIJ5YWDevw9IYYRtC8PgiOGEZM&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",1.0,,False,"https://www.google.com/maps/place/John+Barrilleaux+%26+Sons+Plumbing/@29.7941857,-90.82524819999999,14z/data=!4m8!1m2!2m1!1sJohn+Barrilleaux+%26+Sons+Plumbing!3m4!1s0x86213dfc7a8385e5:0x93118623820f2fb4!8m2!3d29.7941857!4d-90.82524819999999",ChIJ5YWDevw9IYYRtC8PgiOGEZM,,,,,,,,johnbarrilleauxsonsplumbing
Patton Renovation and A/C Repair,,"Plumber, Air conditioning contractor, Service establishment, Heating contractor",Heating contractor,Plumber,+1 225-828-7079,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,30.173136,-90.9276875,,Gonzales,LA,True,3.2,22.0,"https://search.google.com/local/reviews?placeid=ChIJN4st163LJoYRMNMGwa4TNLo&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",12.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-4PM"", ""Tuesday"": ""7AM-4PM"", ""Wednesday"": ""7AM-4PM"", ""Thursday"": ""7AM-4PM"", ""Friday"": ""7AM-4PM"", ""Saturday"": ""8AM-12PM""}",True,"https://www.google.com/maps/place/Patton+Renovation+and+A%2FC+Repair/@30.173136,-90.92768749999999,14z/data=!4m8!1m2!2m1!1sPatton+Renovation+and+A%2FC+Repair!3m4!1s0x8626cbadd72d8b37:0xba3413aec106d330!8m2!3d30.173136!4d-90.92768749999999",ChIJN4st163LJoYRMNMGwa4TNLo,,,,,https://lh6.googleusercontent.com/-sF5xsJTPAHQ/AAAAAAAAAAI/AAAAAAAAAAA/nx89bKK4qow/s256/photo.jpg,#5e5a5e,#f8f7f7,pattonrenovationandacrepair
Doug's Service Company,https://calldougs.com/?utm_source=google-gbp,"Plumber, Drainage service, Electrician, Energy equipment and solutions, Service establishment, Electric generator shop, HVAC contractor, Air conditioning contractor",Air conditioning contractor,Plumber,+1 985-248-8811,,landline,30.0861171,-90.5803884,,Reserve,LA,True,4.3,3.0,"https://search.google.com/local/reviews?placeid=ChIJ7yk34SXTIIYRnVbL3EOFSfE&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",222.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Doug%27s+Service+Company/@30.0861171,-90.58038839999999,14z/data=!4m8!1m2!2m1!1sDoug%27s+Service+Company!3m4!1s0x8620d325e13729ef:0xf1498543dccb569d!8m2!3d30.0861171!4d-90.58038839999999",ChIJ7yk34SXTIIYRnVbL3EOFSfE,jt@calldougs.com,RECEIVING,https://www.facebook.com/pages/Dougs/110332179000702,https://www.instagram.com/dougsservicecompany,https://lh3.googleusercontent.com/-3LTd9Ttaf54/AAAAAAAAAAI/AAAAAAAAAAA/FKT6En-LDLg/s256/photo.jpg,#fbfcfb,#67403f,dougsservicecompany
C & B Plumbing Repairs,http://candbplumbingrepairs.com/,"Plumber, Service establishment",Plumber,Plumber,+1 225-675-5003,,landline,30.166565,-90.869232,,Sorrento,LA,True,3.4,9.0,"https://search.google.com/local/reviews?placeid=ChIJLZkaM3rOJoYROZU_gDmvFfM&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",5.0,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-5PM""}",True,"https://www.google.com/maps/place/C+%26+B+Plumbing+Repairs/@30.166565,-90.869232,14z/data=!4m8!1m2!2m1!1sC+%26+B+Plumbing+Repairs!3m4!1s0x8626ce7a331a992d:0xf315af39803f9539!8m2!3d30.166565!4d-90.869232",ChIJLZkaM3rOJoYROZU_gDmvFfM,,,https://www.facebook.com/pages/,,https://lh5.googleusercontent.com/-QJfIDYf7wHI/AAAAAAAAAAI/AAAAAAAAAAA/oeDC7-Grse0/s256/photo.jpg,#756859,#efeee9,cbplumbingrepairs
Troy Ordoyne's Plumbing Inc,,Plumber,Plumber,Plumber,+1 985-448-1490,,landline,29.7963206,-90.7916506,"124 Half Oak Dr, Thibodaux, LA 70301",Thibodaux,Louisiana,False,5.0,1.0,"https://search.google.com/local/reviews?placeid=ChIJlajQ-II9IYYRIsdRb50Nc2s&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",1.0,,False,"https://www.google.com/maps/place/Troy+Ordoyne%27s+Plumbing+Inc/@29.796320599999998,-90.7916506,14z/data=!4m8!1m2!2m1!1sTroy+Ordoyne%27s+Plumbing+Inc!3m4!1s0x86213d82f8d0a895:0x6b730d9d6f51c722!8m2!3d29.796320599999998!4d-90.7916506",ChIJlajQ-II9IYYRIsdRb50Nc2s,,,,,,,,troyordoynesplumbinginc
Plumb Crazy LLC,https://www.crazygoodplumbing.com/,"Plumber, Service establishment",Plumber,Plumber,+1 225-287-1828,,landline,30.5159635,-91.080373,,Central,LA,True,5.0,161.0,"https://search.google.com/local/reviews?placeid=ChIJF0ajriiZJoYRC8lLKYSfG_Q&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",46.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Plumb+Crazy+LLC/@30.515963499999998,-91.080373,14z/data=!4m8!1m2!2m1!1sPlumb+Crazy+LLC!3m4!1s0x86269928aea34617:0xf41b9f84294bc90b!8m2!3d30.515963499999998!4d-91.080373",ChIJF0ajriiZJoYRC8lLKYSfG_Q,plumbcrazy225@gmail.com,RECEIVING,,,https://lh5.googleusercontent.com/-jzCi814-cSQ/AAAAAAAAAAI/AAAAAAAAAAA/nlPISM5zDh0/s256/photo.jpg,#040404,#8cae80,plumbcrazyllc
Caminita Plumbing LLC,https://www.caminitaplumbing.com/,Plumber,Plumber,Plumber,+1 985-212-1602,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,30.0027206,-90.4124813,"241 Barreca St, Norco, LA 70079",Norco,Louisiana,False,5.0,10.0,"https://search.google.com/local/reviews?placeid=ChIJa8Zi1vDFIIYRUb5gPWVmTZw&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",13.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Caminita+Plumbing+LLC/@30.0027206,-90.4124813,14z/data=!4m8!1m2!2m1!1sCaminita+Plumbing+LLC!3m4!1s0x8620c5f0d662c66b:0x9c4d66653d60be51!8m2!3d30.0027206!4d-90.4124813",ChIJa8Zi1vDFIIYRUb5gPWVmTZw,caminitaplumbingllc@gmail.com,RECEIVING,,,https://lh3.googleusercontent.com/-pRZ69wwrHrQ/AAAAAAAAAAI/AAAAAAAAAAA/3LhTAUt-mWo/s256/photo.jpg,#f9f8f6,#8f8676,caminitaplumbingllc
IPS Ians Plumbing Service and Repairs LLC,,Plumber,Plumber,Plumber,+1 504-487-2453,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - LA,mobile,30.3938737,-90.7653585,"22618 Cuba Wheat Rd, Livingston, LA 70754",Livingston,Louisiana,False,,,,1.0,,True,"https://www.google.com/maps/place/IPS+Ians+Plumbing+Service+and+Repairs+LLC/@30.3938737,-90.76535849999999,14z/data=!4m8!1m2!2m1!1sIPS+Ians+Plumbing+Service+and+Repairs+LLC!3m4!1s0x8626c4dbd1cd2d2f:0xb4db5041f0ffa97f!8m2!3d30.3938737!4d-90.76535849999999",ChIJLy3N0dvEJoYRf6n_8EFQ27Q,,,,,https://lh4.googleusercontent.com/-JOE0B4W9HzQ/AAAAAAAAAAI/AAAAAAAAAAA/uUSFrEkxffY/s256/photo.jpg,#fafafa,#4a4a4a,ipsiansplumbingserviceandrepairsllc
M T Plumbing Inc,,Plumber,Plumber,Plumber,+1 985-446-0209,"BELLSOUTH TELECOMM, INC DBA SO",fixed line,29.801388,-90.8099063,"231 Rienzi Dr, Thibodaux, LA 70301",Thibodaux,Louisiana,False,4.0,1.0,"https://search.google.com/local/reviews?placeid=ChIJtUfTqew9IYYRuFWUSQOffhE&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",1.0,,False,"https://www.google.com/maps/place/M+T+Plumbing+Inc/@29.801388,-90.8099063,14z/data=!4m8!1m2!2m1!1sM+T+Plumbing+Inc!3m4!1s0x86213deca9d347b5:0x117e9f03499455b8!8m2!3d29.801388!4d-90.8099063",ChIJtUfTqew9IYYRuFWUSQOffhE,,,,,,,,mtplumbinginc
Gary J. Alpha Sr. Plumbing Repair,,Plumber,Plumber,Plumber,+1 985-395-2644,,landline,29.715495,-91.260128,"1242 Victoria Riverside Rd, Patterson, LA 70392",Patterson,Louisiana,False,4.0,4.0,"https://search.google.com/local/reviews?placeid=ChIJGYAN2OfeI4YR7K20umrPVk0&q=plumber,+70086,+Saint+James,+LA,+US&authuser=0&hl=en&gl=US",1.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",False,"https://www.google.com/maps/place/Gary+J.+Alpha+Sr.+Plumbing+Repair/@29.715494999999997,-91.260128,14z/data=!4m8!1m2!2m1!1sGary+J.+Alpha+Sr.+Plumbing+Repair!3m4!1s0x8623dee7d80d8019:0x4d56cf6abab4adec!8m2!3d29.715494999999997!4d-91.260128",ChIJGYAN2OfeI4YR7K20umrPVk0,,,,,,,,garyjalphasrplumbingrepair
